device,metric1,metric2,metric3,years
S1F01085,215630672,6,407438,21
S1F0166B,61370680,6,403174,21
S1F01E6Y,173295968,12,237394,25
S1F01JE0,79694024,6,410186,25
S1F01R2B,135970480,15,313173,27
S1F01TD5,68837488,6,413535,27
S1F01XDJ,227721632,8,402525,31
S1F023H2,141503600,19,494462,31
S1F02A0J,8217840,14,311869,31
S1F02DZ2,116440096,9,407905,31
S1F02EVN,112348104,7,388146,33
S1F02L38,223938928,2,215169,33
S1F02MGA,44399688,6,399286,33
S1F02P76,104131304,11,301679,33
S1F02VAX,61019512,3,380496,31
S1F02WFT,44348552,11,249515,31
S1F0318A,35018688,9,394890,31
S1F0322R,34540712,9,411399,31
S1F0330P,125539768,14,297284,33
S1F035SJ,220392160,9,389730,33
S1F0377V,166567552,14,321308,33
S1F039FE,218786520,4,394782,33
S1F03RV3,176851840,8,258058,26
S1F03YZM,55587136,7,199132,22
S1F044ET,161730848,5,226578,32
S1F049RX,181980928,7,395719,28
S1F04DH8,134506192,16,324354,20
S1F04KSC,105234552,3,339205,20
S1F04MVQ,41356960,4,367145,20
S1F04R7Y,126680112,7,398672,20
S1F04TS4,11041528,6,385366,22
S1F04Y6C,121664216,3,388821,22
S1F059G0,131625384,3,399158,22
S1F05AFP,182270456,3,378044,22
S1F05B1Q,163784840,4,387410,22
S1F05NAJ,133978568,4,336806,26
S1F05P51,188415568,5,331171,26
S1F05P5Z,212782472,4,331390,26
S1F06E04,67826320,5,375985,26
S1F06F7K,124661944,4,383073,30
S1F06R6W,107727520,2,397732,30
S1F06ZX2,118304768,9,403791,30
S1F08R94,193299520,4,325723,30
S1F08S38,36835520,4,333898,30
S1F09DZQ,12568128,6,380112,34
S1F09MAK,9461552,3,306534,34
S1F09MSM,150282408,3,338226,24
S1F0A1PX,32240224,4,330480,24
S1F0A1VP,214406240,4,337452,27
S1F0AADQ,204365424,7,380594,17
S1F0AEFT,201740416,9,392707,24
S1F0B3XA,138051992,4,342303,23
S1F0B5QJ,190272496,4,257578,27
S1F0BN0S,164954392,4,315843,27
S1F0BQZK,16350056,4,331917,31
S1F0BVK1,128177168,5,235659,31
S1F0BWZ3,77946232,7,354416,31
S1F0C95J,145431032,5,228392,25
S1F0CE60,116599776,6,213752,25
S1F0CSBR,117542136,4,303625,29
S1F0CSRZ,8337728,4,332141,29
S1F0CT09,59979360,4,333880,29
S1F0CT4F,4308592,4,350244,23
S1F0CTDN,50147888,9,381198,20
S1F0CTDY,40804784,4,337518,15
S1F0CTRL,68179312,4,341208,19
S1F0CVDS,31652376,4,345198,24
S1F0CVRM,3131464,4,333128,28
S1F0CVWK,214520784,7,350191,28
S1F0CVY5,149416256,5,315962,24
S1F0CWHW,181849512,4,320211,24
S1F0CWKN,127130528,4,338123,28
S1F0CWXJ,126520680,4,286446,28
S1F0DKAN,229757712,6,257378,22
S1F0DSTY,8471680,11,436682,22
